customer_key,customerName,customerType,nationality
CUST00001,Vi Mai,Individual,Vietnam
CUST00002,김성수,Travel Agency,Korea
CUST00003,Kevin Brown,Corporate,Australia
CUST00004,Bảo Vũ,Corporate,Vietnam
CUST00005,Bà Lâm Bùi,Corporate,Vietnam
CUST00006,Quang Đặng,VIP,Vietnam
CUST00007,Benoît Boucher,Corporate,France
CUST00008,Hải Lê,Travel Agency,Vietnam
CUST00009,蔡秀华,Corporate,China
CUST00010,Bảo Phú Dương,Individual,Vietnam
CUST00011,Emilia Heß,Corporate,Germany
CUST00012,Thibault du Lemaire,Corporate,France
CUST00013,Phúc Tấn Mai,Corporate,Vietnam
CUST00014,Herr Fridolin Bolnbach B.A.,Individual,Germany
CUST00015,Anh Tùng Mai,Corporate,Vietnam
CUST00016,Nhật Dương,Travel Agency,Vietnam
CUST00017,Chị Phương Vũ,Travel Agency,Vietnam
CUST00018,Chị Hồng Nguyễn,Corporate,Vietnam
CUST00019,Franz-Xaver Schleich,Corporate,Germany
CUST00020,Ortrud Vogt-Jüttner,VIP,Germany
CUST00021,Phương Dương,Individual,Vietnam
CUST00022,Quý ông Minh Vũ,Travel Agency,Vietnam
CUST00023,Anh Minh Đặng,Individual,Vietnam
CUST00024,Adam Harris,Travel Agency,USA
CUST00025,Bảo Mai Hoàng,Corporate,Vietnam
CUST00026,Hà Vũ,VIP,Vietnam
CUST00027,Quý cô Linh Lê,VIP,Vietnam
CUST00028,鈴木 幹,Individual,Japan
CUST00029,Phương Nguyễn,VIP,Vietnam
CUST00030,Kim Xuân Dương,Individual,Vietnam
CUST00031,Quý cô Vân Đặng,Corporate,Vietnam
CUST00032,Quang Xuân Trần,Corporate,Vietnam
CUST00033,Cô Nhật Nguyễn,VIP,Vietnam
CUST00034,Tú Vũ,Individual,Vietnam
CUST00035,Bà Ngọc Phạm,Individual,Vietnam
CUST00036,Trọng Trần,Individual,Vietnam
CUST00037,Thành Bùi,Individual,Vietnam
CUST00038,Bà Hà Đặng,VIP,Vietnam
CUST00039,Cô Hương Trần,VIP,Vietnam
CUST00040,Gesche Oderwald,VIP,Germany
CUST00041,Lâm Mai,Individual,Vietnam
CUST00042,Quang Mai Bảo Nguyễn,VIP,Vietnam
CUST00043,Bà Mai Phạm,Travel Agency,Vietnam
CUST00044,An Phạm,VIP,Vietnam
CUST00045,Tùng Nguyễn,VIP,Vietnam
CUST00046,Catherine Ramirez,VIP,Australia
CUST00047,Ông Quang Hoàng,Travel Agency,Vietnam
CUST00048,Quang Quang Vũ,Corporate,Vietnam
CUST00049,조현정,Individual,Korea
CUST00050,吉田 晃,VIP,Japan
CUST00051,清水 あすか,Travel Agency,Japan
CUST00052,Bảo Hoàng Nguyễn,Individual,Vietnam
CUST00053,Rosa Knappe,VIP,Germany
CUST00054,Fiona Slater,Corporate,UK
CUST00055,Thành Quang Đặng,VIP,Vietnam
CUST00056,Dũng Dương,Travel Agency,Vietnam
CUST00057,Cô Kim Vũ,Travel Agency,Vietnam
CUST00058,차서연,Travel Agency,Korea
CUST00059,Khoa Quang Bùi,VIP,Vietnam
CUST00060,Dũng Dương,Individual,Vietnam
CUST00061,Linh Hoàng,Travel Agency,Vietnam
CUST00062,Bảo Hữu Dương,Individual,Vietnam
CUST00063,斉藤 春香,VIP,Japan
CUST00064,Tú Mai,Individual,Vietnam
CUST00065,Dale Fields,Travel Agency,USA
CUST00066,Ngọc Nguyễn,Individual,Vietnam
CUST00067,Bác Thành Hoàng,Travel Agency,Vietnam
CUST00068,Nhiên Trí Mai,Individual,Vietnam
CUST00069,Agathe Benard,Travel Agency,France
CUST00070,배보람,Travel Agency,Korea
CUST00071,Cô Dương Vũ,Corporate,Vietnam
CUST00072,Quang Lê,VIP,Vietnam
CUST00073,Bảo Tấn Nguyễn,Corporate,Vietnam
CUST00074,Guy Maillot,Travel Agency,France
CUST00075,Ông Dũng Đặng,Individual,Vietnam
CUST00076,Ông Bảo Nguyễn,VIP,Vietnam
CUST00077,Trung Lê,VIP,Vietnam
CUST00078,최정자,Corporate,Korea
CUST00079,Phúc Mai Bảo Phạm,Individual,Vietnam
CUST00080,Carol Taylor,Corporate,Australia
CUST00081,Ông Quang Vũ,VIP,Vietnam
CUST00082,Chi Phạm,Corporate,Vietnam
CUST00083,Yến Bùi,VIP,Vietnam
CUST00084,Cô Ánh Phạm,Travel Agency,Vietnam
CUST00085,Robert Fleury,Corporate,France
CUST00086,Cindy Kranz,Travel Agency,Germany
CUST00087,Kim Bùi,Corporate,Vietnam
CUST00088,Ngọc Phạm,Corporate,Vietnam
CUST00089,이현준,Individual,Korea
CUST00090,Quý cô Nhật Mai,Travel Agency,Vietnam
CUST00091,Lan Mai,Individual,Vietnam
CUST00092,Stacy Obrien,Travel Agency,Australia
CUST00093,Anh Quang Đặng,Corporate,Vietnam
CUST00094,Quang Dương,Individual,Vietnam
CUST00095,Dũng Hữu Phạm,Corporate,Vietnam
CUST00096,김지영,Individual,Korea
CUST00097,Timothy Ross,Individual,USA
CUST00098,Dr. Wolf Weihmann,Travel Agency,Germany
CUST00099,Hạnh Lê,Corporate,Vietnam
CUST00100,Tú Mai,VIP,Vietnam
CUST00101,Chị Yến Dương,VIP,Vietnam
CUST00102,黄瑞,Travel Agency,China
CUST00103,Quý cô Lâm Dương,Individual,Vietnam
CUST00104,Lâm Xuân Nguyễn,VIP,Vietnam
CUST00105,Nhật Phạm,Individual,Vietnam
CUST00106,Chị Lâm Mai,Travel Agency,Vietnam
CUST00107,Jean Lebrun,VIP,France
CUST00108,Cô Hải Dương,Travel Agency,Vietnam
CUST00109,Dũng Vũ,Corporate,Vietnam
CUST00110,Thành Phạm,Individual,Vietnam
CUST00111,Bà Khoa Nguyễn,Individual,Vietnam
CUST00112,An Vũ,Travel Agency,Vietnam
CUST00113,Trọng Tấn Bùi,Individual,Vietnam
